time,open,high,low,close
2008-06-10,2.01300001,2.01300001,2.01300001,2.01300001
2008-06-11,1.93099999,1.93099999,1.93099999,1.93099999
2008-06-12,2.00699997,2.00699997,2.00699997,2.00699997
2008-06-16,1.94500005,1.94500005,1.94500005,1.94500005
2008-06-17,1.98199999,1.98199999,1.98199999,1.98199999
2008-06-18,1.91999996,1.91999996,1.91999996,1.91999996
2008-06-19,1.91499996,1.91499996,1.91499996,1.91499996
2008-06-23,1.89400005,1.89400005,1.89400005,1.89400005
2008-06-24,1.85899997,1.85899997,1.85899997,1.85899997
2008-06-25,1.80299997,1.80299997,1.80299997,1.80299997
2008-06-26,1.71099997,1.71099997,1.71099997,1.71099997
2008-06-30,1.72000003,1.72000003,1.72000003,1.72000003
2008-07-01,1.86399996,1.86399996,1.86399996,1.86399996
2008-07-02,1.80799997,1.80799997,1.80799997,1.80799997
2008-07-07,1.81200004,1.81200004,1.81200004,1.81200004
2008-07-08,1.90499997,1.90499997,1.90499997,1.90499997
2008-07-09,1.80299997,1.80299997,1.80299997,1.80299997
2008-07-10,1.66999996,1.66999996,1.66999996,1.66999996
2008-07-14,1.45500004,1.45500004,1.45500004,1.45500004
2008-07-15,1.40900004,1.40900004,1.40900004,1.40900004
2008-07-16,1.36300004,1.36300004,1.36300004,1.36300004
2008-07-17,1.38900006,1.38900006,1.38900006,1.38900006
2008-07-21,1.42400002,1.42400002,1.42400002,1.42400002
2008-07-22,1.55200005,1.55200005,1.55200005,1.55200005
2008-07-23,1.54700005,1.54700005,1.54700005,1.54700005
2008-07-24,1.63399994,1.63399994,1.63399994,1.63399994
2008-07-28,1.69500005,1.69500005,1.69500005,1.69500005
2008-07-29,1.72099996,1.72099996,1.72099996,1.72099996
2008-07-30,1.70000005,1.70000005,1.70000005,1.70000005
2008-07-31,1.66999996,1.66999996,1.66999996,1.66999996
2008-08-04,1.71000004,1.71000004,1.71000004,1.71000004
2008-08-05,1.73599994,1.73599994,1.73599994,1.73599994
2008-08-06,1.63399994,1.63399994,1.63399994,1.63399994
2008-08-07,1.67999995,1.67999995,1.67999995,1.67999995
2008-08-11,1.79700005,1.79700005,1.79700005,1.79700005
2008-08-12,1.85399997,1.85399997,1.85399997,1.85399997
2008-08-13,1.84899998,1.84899998,1.84899998,1.84899998
2008-08-14,1.86399996,1.86399996,1.86399996,1.86399996
2008-08-18,1.77699995,1.77699995,1.77699995,1.77699995
2008-08-19,1.80299997,1.80299997,1.80299997,1.80299997
2008-08-20,1.69500005,1.69500005,1.69500005,1.69500005
2008-08-21,1.71099997,1.71099997,1.71099997,1.71099997
2008-08-25,1.67999995,1.67999995,1.67999995,1.67999995
2008-08-26,1.69500005,1.69500005,1.69500005,1.69500005
2008-08-27,1.65400004,1.65400004,1.65400004,1.65400004
2008-08-28,1.73599994,1.73599994,1.73599994,1.73599994
2008-09-02,1.66900003,1.66900003,1.66900003,1.66900003
2008-09-03,1.70599997,1.70599997,1.70599997,1.70599997
2008-09-04,1.67499995,1.67499995,1.67499995,1.67499995
2008-09-08,1.69500005,1.69500005,1.69500005,1.69500005
2008-09-09,1.65400004,1.65400004,1.65400004,1.65400004
2008-09-10,1.63399994,1.63399994,1.63399994,1.63399994
2008-09-11,1.62899995,1.62899995,1.62899995,1.62899995
2008-09-15,0.792,0.792,0.792,0.792
2008-09-16,0.69599998,0.69599998,0.69599998,0.69599998
2008-09-17,0.041,0.041,0.041,0.041
2008-09-18,0.228,0.228,0.228,0.228
2008-09-22,0.90399998,0.90399998,0.90399998,0.90399998
2008-09-23,0.80299997,0.80299997,0.80299997,0.80299997
2008-09-24,0.45699999,0.45699999,0.45699999,0.45699999
2008-09-25,0.78200001,0.78200001,0.78200001,0.78200001
2008-09-29,0.132,0.132,0.132,0.132
2008-09-30,0.91000003,0.91000003,0.91000003,0.91000003
2008-10-01,0.79799998,0.79799998,0.79799998,0.79799998
